,children,age,income,churn,contacts,yearly_equip_failure,techie,online_security,tenure,monthly_charge,bandwidth_gb_year
110,1,47,55861.19,0,1,0,0,0,5.197446331,137.439154,704.9375603
111,1,48,9044.26,1,3,1,0,0,6.577552683,192.470522,888.6517305
112,0,63,25381.66,1,1,0,0,0,3.174571918,159.951231,377.0810282
113,1,40,65064.31,0,0,0,0,0,17.88002366,112.455141,1606.489936
114,0,67,12527.51,1,2,0,1,1,13.12190056,174.961766,1431.409396
115,0,56,35499.06,0,3,0,1,1,23.34617699,162.452604,2253.85247
116,6,24,26282.4,0,1,0,1,0,6.311709178,137.483594,1353.29384
117,2,79,51237.28,0,3,0,0,0,12.58298231,275.133571,1701.457566
118,3,61,64222.21,1,1,1,0,0,7.120096363,127.442069,1290.737183
119,0,38,11014.98,1,2,0,1,0,9.344886869,210.138,1403.270091
120,4,28,21172.49,0,1,0,1,0,22.37815032,147.456419,2603.903672
121,3,44,26130.78,1,2,0,0,0,4.799514433,242.657291,1256.287854
122,1,65,36478.21,0,2,0,1,0,10.04672315,114.983787,980.9935923
123,3,35,54533.63,0,2,1,0,0,8.156552837,187.656013,1347.869205
124,2,31,37103.18,0,3,1,0,0,7.992791229,149.991327,1127.267848
125,2,34,74679.84,0,0,1,1,0,7.231032028,124.960655,1269.836202
126,2,68,95028.57,1,0,0,0,0,4.627672042,220.161527,1038.745378
127,0,62,34281.1,0,0,0,0,0,10.05306287,172.48852,1531.155367
128,0,52,36240.81,0,0,1,0,1,4.171044392,120.004928,991.2441024
129,5,32,9515.64,1,4,0,0,0,4.568682641,220.161527,1244.296865
130,0,47,125814.88,1,0,1,0,0,6.085030507,139.965008,1162.332926
131,8,66,12995.68,0,1,1,0,0,2.730250735,159.951231,577.1157824
132,1,70,77531.43,1,1,0,0,0,8.574901206,184.949594,1442.974877
133,3,41,87354.99,1,0,0,0,0,9.743201772,252.637807,1577.208717
134,2,59,76567.85,0,1,0,0,0,9.482919033,112.455141,886.9398744
135,1,46,30663.52,0,0,0,0,0,8.447988841,179.979358,1065.06443
136,3,70,122957.19,0,0,0,0,0,6.365998533,202.443347,951.886985
137,1,89,31600.92,0,2,0,0,0,7.251397592,197.472533,1404.435534
138,4,75,74638.78,1,3,1,0,1,14.64011644,255.155493,1925.911722
139,0,26,32652.3,1,0,1,1,0,11.71637124,174.976769,1805.011298
140,4,25,63650.54,0,1,1,0,0,4.13273503,169.992756,700.7343179
141,1,84,28622.6,1,1,0,0,0,2.887429547,192.440432,513.237305
142,3,69,50252.79,0,0,2,0,0,3.303030246,182.460772,717.3876564
143,3,31,19800.81,0,2,1,0,0,5.15825129,139.965008,1313.492851
144,10,76,35954.77,1,1,0,0,0,3.237560234,137.461553,819.4195269
145,8,75,36342.31,1,2,0,0,0,2.733109234,217.472533,882.1160656
146,1,74,48715.53,1,1,0,0,0,3.180102025,210.138,724.7803356
147,1,49,23204.98,0,2,0,0,0,15.85983755,104.964303,1829.270014
148,1,47,35302.52,1,1,1,0,0,11.73724209,262.610632,1668.199119
149,4,20,54895.16,1,2,0,0,1,7.006240694,152.488401,1124.353152
150,2,26,60398.06,1,2,0,0,1,5.562130367,174.974431,1316.239744
151,2,72,8115.88,0,0,1,0,0,14.53027663,220.118516,1637.201426
152,1,41,33858.66,0,0,0,1,1,5.905906389,162.452604,951.8524406
153,3,26,29950.47,1,2,1,0,1,3.260462654,184.961033,1248.097652
154,4,55,49421.69,0,3,0,0,1,18.91276578,217.483972,2220.255405
155,1,46,11061.05,0,2,1,0,0,14.25617986,220.118516,1669.202417
156,0,87,15388.32,1,1,2,1,0,7.983887266,187.642236,990.0555076
157,1,39,20624.31,0,2,1,1,1,5.969967132,174.961766,967.9819136
158,0,81,47877.81,1,0,0,0,0,19.95277818,252.637807,2190.259876
159,0,83,46154.17,0,1,0,0,1,14.85781115,130.024412,1445.752781
160,0,50,107111.8,1,2,0,0,1,2.600063739,162.482694,528.6553088
161,3,87,10403.59,1,2,1,0,0,11.92299244,182.467607,1296.481055
162,3,76,22412.6,0,0,0,0,0,5.972864167,139.934918,1195.393037
163,6,25,19476.27,1,1,0,1,0,10.87555535,200.165175,1700.121992
164,3,34,96382.76,1,0,0,0,1,16.00330155,202.682861,2120.673828
165,1,46,28022.56,0,0,1,0,0,12.63074989,159.951231,1238.421347
166,1,73,35478.4,0,2,0,0,0,8.4944392,149.948316,847.110799
167,8,57,10155.51,1,1,1,0,1,8.044444101,149.959755,1112.937102
168,3,58,87537.25,0,0,1,0,0,12.07358377,137.469817,1623.045026
169,4,70,34112.1,1,0,0,0,0,10.21634248,187.656013,1479.730181
170,0,53,32653.51,1,1,0,0,1,15.50354683,164.985293,2144.735024
171,0,31,35321.46,1,0,3,0,0,13.88004531,159.965008,1522.289512
172,0,38,49277.48,0,1,0,0,1,19.48900163,172.462354,1974.780054
173,0,26,37297.82,1,0,0,0,0,10.01771765,204.949594,1261.177198
174,2,44,14928.96,0,2,0,0,0,7.34059599,147.473844,939.7181324
175,3,66,24702.68,1,3,2,1,0,12.64742067,162.471255,1357.062854
176,1,58,87535.71,0,0,1,0,1,8.850426839,119.95684,1456.887443
177,6,51,63166.87,1,2,0,0,0,3.701557118,207.609354,937.5863866
178,4,34,11856.81,0,1,0,0,0,2.976033785,194.999168,830.1193011
179,0,87,27326.79,0,1,0,0,1,5.522376826,174.975543,737.8564608
180,1,67,12779.23,1,2,1,0,0,15.64596698,240.114868,1781.854862
181,4,59,25519.91,1,1,1,0,0,23.00764441,240.114868,2464.577489
182,7,23,46871.21,0,0,0,0,0,17.24924155,139.983006,2392.203409
183,0,42,77383.72,1,0,0,0,0,13.01107597,240.114868,1664.19271
184,1,24,47395.3,1,3,0,0,1,5.104082209,209.993134,1433.616898
185,2,81,90977.74,0,3,0,0,0,3.521499924,147.456419,823.4933243
186,8,78,135727.71,0,0,0,0,1,8.08137067,107.495766,1468.357421
187,1,51,47726.25,1,5,0,0,1,1.875430489,152.502178,590.7765801
188,1,70,51721.64,0,2,0,0,0,5.587484456,79.978861,418.6206885
189,0,87,41531.03,0,2,0,0,1,7.007695148,142.482694,1181.991846
190,0,46,33504.8,0,1,0,0,0,1.408375942,117.439154,733.4036934
191,8,56,34197.3,1,2,1,0,0,11.64983735,220.132293,1719.173387
192,4,44,11518.58,1,3,0,1,1,2.964559883,152.455519,1205.956363
193,0,33,31065.17,0,2,1,0,1,10.25635754,174.961766,1261.032763
194,0,19,32097.17,1,1,1,0,0,3.892407013,202.443347,741.7766988
195,1,31,23424.88,1,2,1,0,1,3.226996711,210.12704,932.6084359
196,1,34,35988.24,0,0,0,0,1,15.87685513,139.979239,1708.614019
197,4,43,35539.7,0,0,1,0,0,5.874064017,139.965008,1363.58603
198,1,82,27959.34,0,1,0,0,0,3.756359276,137.439154,472.1057019
199,6,36,52232.97,0,1,0,0,0,2.905283283,102.474625,558.2340556
200,1,48,18198.59,1,3,0,0,0,1.474810061,252.637807,815.194738
201,0,52,16851.94,1,0,1,0,0,18.56165869,194.999168,2007.303617
202,1,35,16440.05,1,1,0,0,0,12.39088509,242.610632,2088.48083
203,3,83,44223.58,0,2,0,0,0,14.17192333,127.458638,1430.761492
204,0,20,33343.73,0,1,0,0,1,3.86023041,129.976324,822.3008694
205,0,25,30664.56,1,4,0,0,0,17.72593456,240.114868,2059.200998
206,0,88,31934.04,0,1,0,0,1,3.043063167,174.975543,617.542543
207,1,54,26676.4,0,0,0,0,0,5.827112819,169.944668,758.4775985
208,1,46,67211.95,1,0,1,0,1,4.648958177,162.511928,894.6733856
209,2,75,31136.77,0,1,0,0,1,11.96274778,119.95684,1639.898269
210,5,66,40660.84,0,0,1,0,0,4.525864256,137.439154,710.7541633
211,0,51,10606.59,0,1,1,1,1,8.038308899,207.46728,1092.226042
212,3,81,92447.71,0,0,0,0,1,1.416592892,149.974105,757.0097075
213,0,75,13612.16,0,0,0,0,1,19.83504645,225.178625,2301.850721
214,3,54,13765.39,1,2,0,0,0,15.85002222,232.637807,2401.406545
215,2,73,53019.98,0,2,1,0,0,15.94935291,117.472036,1535.788894
216,0,53,42523.02,0,1,1,0,0,11.94550648,137.469817,1536.589816
217,8,33,52143.7,0,1,1,0,0,16.03360405,220.132293,2153.778421
218,5,41,19097.94,0,0,1,0,0,21.29342532,124.960655,2409.195918
219,1,59,11301.4,0,0,0,1,1,4.95598008,199.990219,1342.862457
220,3,23,17814.0,1,0,0,0,0,2.73951266,159.947583,1046.054674
221,1,32,22533.05,1,1,1,0,1,4.973046104,245.145743,1204.479468
222,3,51,19974.4,1,2,0,0,1,10.28430068,255.155493,1616.908193
223,1,46,45146.99,0,1,1,0,0,2.581692044,134.950905,345.0099528
224,3,37,10330.1,1,1,0,0,0,6.945736396,159.947583,1427.088655
225,0,53,15281.28,0,3,0,0,1,9.999416271,139.987503,1452.334634
226,1,62,11217.96,1,2,0,0,0,6.035737465,179.947583,795.4957358
227,1,57,17516.0,0,0,1,0,0,9.004964377,127.473844,1333.894229
228,2,80,20566.64,1,1,0,0,0,5.071456681,232.637807,1402.20491
229,1,43,36128.68,1,1,1,0,1,12.02106494,195.006206,1447.196935
230,1,35,52129.84,1,1,0,1,0,5.049303717,267.642733,1662.510936
231,1,63,25985.06,0,1,0,0,1,18.17247008,149.959755,1707.641161
232,1,63,10909.79,1,2,0,0,0,15.31997698,220.114868,2181.752793
233,1,27,41151.14,0,3,0,0,0,16.0708543,157.483594,1575.683555
234,4,19,64063.23,0,3,0,0,0,7.873371451,127.474951,1029.489242
235,1,40,20414.07,0,1,1,1,0,23.62866494,139.981577,2370.184448
236,0,42,41412.1,1,1,0,0,0,25.8634566,255.133571,3309.919373
237,0,40,99195.08,1,1,0,0,0,9.405224809,194.966286,1623.273925
238,0,72,18408.94,0,2,0,1,0,12.84490034,179.965581,1146.199921
239,3,61,15930.45,1,0,1,1,0,16.59325254,174.976769,2229.268031
240,0,71,25611.29,0,0,0,0,0,20.35456039,187.609354,2512.36494
241,4,68,9428.86,0,0,1,0,0,12.00925702,169.937833,1297.388488
242,1,88,3810.16,0,2,1,0,1,2.861423443,115.002061,283.39178
243,1,64,118022.06,1,2,0,1,1,14.20349453,152.462354,1947.7853
244,1,63,51992.79,1,1,1,0,0,4.98152586,207.609354,849.1972541
245,0,53,79993.43,0,0,2,0,0,23.12150846,147.503078,2131.359827
246,0,41,37706.85,0,0,0,1,0,6.307178205,200.118516,1464.035068
247,2,63,22466.53,0,1,0,0,1,12.73622643,137.497825,1381.538548
248,4,56,16608.27,0,0,0,0,0,12.00466914,134.980139,1248.626874
249,2,27,25146.14,0,0,0,1,0,2.243757398,147.442069,558.3751762
250,2,47,58882.35,0,0,0,0,1,1.583394702,197.494455,676.2178659
251,4,42,31809.46,0,2,0,0,1,14.23487852,162.529926,1641.938696
252,0,72,27235.54,1,0,0,0,0,15.28108311,210.151777,1811.964373
253,3,58,70476.82,1,2,0,0,0,4.135827839,159.965581,1066.632555
254,0,33,49396.09,1,3,0,0,1,9.740709475,190.173699,1514.131966
255,6,87,35060.94,1,0,1,0,1,1.213704886,202.649979,1189.549671
256,0,34,66055.53,0,2,0,0,0,11.86252419,134.950905,1114.020282
257,7,76,91335.76,0,1,0,0,1,2.416685985,142.500692,1078.291303
258,3,38,54349.75,0,0,1,1,0,6.73327535,114.997564,854.2977548
259,0,47,75042.1,1,1,1,0,0,6.549035393,232.62403,1489.077486
260,7,84,91001.1,1,1,0,0,0,10.57197066,242.628057,1649.312808
261,4,19,44426.28,1,0,0,0,0,3.379756569,202.443347,905.1959227
262,0,87,63284.16,0,1,1,0,0,8.959047529,124.993537,684.6318529
263,3,75,14039.21,0,1,0,0,0,10.23679934,174.976769,1662.533055
264,0,37,12453.24,1,0,1,0,1,14.96503088,225.145743,2436.57146
265,1,52,15934.12,1,0,1,0,0,23.79323993,275.133571,2677.74041
266,0,24,48314.4,1,1,0,0,0,11.45675389,287.642733,1779.309609
267,4,83,5511.77,1,0,0,0,1,11.04076215,177.65076,1494.716409
268,3,19,10701.11,1,0,1,0,0,7.425503428,220.114868,1740.72604
269,1,78,10767.15,1,0,0,0,1,2.411712843,197.516854,704.7552669
270,4,61,13493.63,0,1,1,0,1,2.009542213,194.974431,558.4710883
271,0,38,25071.58,1,0,0,0,0,9.068119482,175.133074,1282.279049
272,0,79,368.5,1,0,1,0,1,1.926789854,147.478341,287.8189836
273,0,49,27976.63,0,2,1,0,0,11.77389421,134.980139,1129.529441
274,0,41,56154.5,0,3,0,0,0,2.585228303,157.483594,394.0148722
275,0,75,62145.59,0,2,1,0,1,9.517703088,255.141716,1302.230824
276,1,60,6517.94,0,0,0,0,0,9.532523799,137.439154,970.4682919
277,1,70,19090.03,0,0,0,0,1,23.103996,235.159141,2522.88913
278,0,23,13194.33,1,0,0,0,0,5.104873611,147.460067,682.9871863
279,2,84,63963.36,1,1,0,1,0,6.877942744,232.637807,1537.109931
280,1,63,34447.89,1,3,0,0,0,21.17839683,137.439154,1961.923965
281,2,88,36315.29,0,3,0,0,0,1.586331702,129.948316,676.1747964
282,0,44,5009.07,1,3,0,0,1,3.778174405,242.632554,929.2607767
283,1,49,14202.72,1,0,0,1,0,11.58276897,187.609354,1849.484087
284,8,32,54779.76,1,0,0,1,1,11.62258922,232.652038,1998.680227
285,1,69,36453.31,0,1,0,0,0,20.78013031,159.980465,1898.877878
286,2,60,11250.71,1,1,1,0,0,3.940297464,159.947583,992.3501481
287,0,57,65951.35,0,0,0,1,0,11.38099891,137.487242,994.6354785
288,8,62,15292.25,1,0,1,0,1,1.473304337,245.131966,954.0290712
289,0,26,41879.1,0,0,1,0,0,12.75609778,117.439154,1775.838153
290,0,85,17080.57,1,0,1,0,1,6.253919786,209.993134,1297.050577
291,2,82,68122.23,0,0,0,0,1,18.9537053,169.974105,1746.405243
292,2,40,39468.79,0,1,1,0,1,9.640061615,197.470195,1698.465833
293,0,50,123763.12,1,1,0,0,0,5.201330266,137.516476,665.4740915
294,1,71,84301.44,1,0,1,0,0,12.42120946,207.475448,1886.153328
295,2,48,42469.81,0,1,0,0,1,8.134438503,160.00128,958.6989908
296,0,24,75458.79,0,1,0,0,1,14.86764776,147.478341,1446.203986
297,3,79,60345.9,0,1,0,0,0,5.548652108,127.488728,774.6125757
298,4,82,76066.77,0,2,1,0,0,18.35541838,139.981577,1939.811149
299,2,68,42755.27,1,0,1,1,0,7.62779591,220.132293,1165.564309
300,5,77,76874.25,0,0,0,0,0,4.439685675,214.952509,750.8768234
301,1,19,41075.64,0,1,1,1,0,11.16903388,139.99789,1292.3206
302,1,80,63095.62,1,1,2,1,1,14.14101821,270.160419,2335.130986
303,4,31,82131.87,1,1,0,0,0,3.212400569,202.443347,769.8534863
304,2,62,28502.33,0,1,2,0,0,16.84928353,172.47417,1729.837284
305,4,80,9450.84,1,1,1,0,0,3.834727471,137.468388,649.3891796
306,1,36,44977.06,0,3,0,0,0,6.198230305,104.962874,823.0046464
307,0,72,13583.35,0,3,0,0,0,4.216732972,174.969934,1107.882056
308,0,50,42093.64,0,1,0,0,0,4.355064781,139.99789,683.8622599
309,3,31,55398.87,0,2,0,0,1,4.030250374,144.988941,1301.49424
310,0,22,22362.59,0,0,2,0,0,9.915959247,114.997564,1079.012505
311,0,50,40271.47,1,1,0,1,1,9.821728297,172.484753,1283.463995
312,0,28,56178.63,0,2,0,0,0,9.183905417,124.97808,987.653655
313,0,63,21053.35,0,2,1,0,1,8.892893007,174.991856,1088.263081
314,1,73,75866.75,0,0,0,0,0,7.661226872,92.488023,583.0259559
315,3,72,74061.48,0,0,0,0,0,12.4767812,139.965008,1778.733282
316,7,23,35102.93,1,0,0,0,0,2.462148717,192.470522,900.4043765
317,1,49,26391.1,1,1,0,0,0,14.09942339,220.118516,1693.576099
318,1,82,29982.49,1,0,0,1,1,7.272649386,232.622804,1143.826239
319,1,72,51154.34,0,1,0,0,1,3.999030359,210.156274,886.340074
320,1,45,37583.97,0,1,1,0,1,3.115945151,114.972827,373.2772664
321,1,73,28654.87,0,1,0,0,1,13.67931764,149.977753,1245.328696
322,1,78,119968.61,1,3,0,0,1,14.6728104,184.985293,1564.936841
323,4,71,11591.09,0,1,0,0,1,5.953547112,132.479779,1354.401018
324,4,67,70174.11,1,0,0,0,1,11.74635394,190.12704,1971.429689
325,1,43,8495.04,0,1,2,1,0,5.954024226,92.488023,623.7865683
326,5,27,17191.02,1,2,0,1,0,22.8577804,220.114868,3040.553763
327,2,39,24732.09,1,1,1,0,1,1.407866545,107.495766,864.7036995
328,0,52,27282.21,0,0,1,0,0,21.08265979,169.967067,2042.113893
329,9,19,40902.49,1,0,1,0,1,11.10356439,222.679213,1973.661316
330,0,48,87568.16,1,0,0,0,0,9.734064703,200.132293,1755.645123
331,0,22,69327.78,1,2,1,0,0,12.21754865,262.610632,1758.735654
332,1,69,5194.22,1,2,0,1,1,2.423722078,152.495236,557.0118807
333,1,31,12951.51,0,1,0,0,1,13.66061487,202.636202,2205.334092
334,9,79,11179.42,0,0,0,0,1,8.701581043,127.478341,1451.201108
335,0,65,47288.09,0,0,0,1,0,4.844060027,159.983006,609.0598401
336,4,49,114398.35,1,2,0,0,0,6.485034974,124.960655,1221.100604
337,6,69,105646.73,1,1,0,1,0,1.14113241,252.62403,745.0493094
338,3,74,42386.84,0,0,0,0,0,7.69213424,104.97808,1220.452161
339,3,27,38864.57,1,1,0,0,1,13.73012915,204.961033,1771.472597
340,4,79,25215.22,1,2,0,0,1,5.690013293,245.145743,1201.484293
341,1,41,9302.3,0,1,0,0,1,6.68894661,95.019486,764.3017535
342,0,51,45225.74,0,2,0,1,0,9.475983046,169.937833,1022.415622
343,0,57,29976.15,1,0,0,0,0,4.893221514,207.475448,1284.442486
344,1,66,13155.79,0,0,1,0,0,2.656915117,114.983787,289.9240291
345,4,85,14980.5,1,4,0,0,0,8.381515693,232.637807,1718.600163
346,9,54,24017.57,0,2,1,0,1,14.53315436,225.131966,2494.633068
347,8,79,26204.77,1,1,0,0,0,13.62832619,212.641455,2270.749222
348,3,56,27978.78,1,3,0,0,1,1.281566108,152.495236,567.6177123
349,1,80,46622.3,1,0,0,0,0,3.365552603,134.950905,380.0501404
350,0,37,34419.26,1,1,0,0,0,5.397827503,200.132293,1436.408211
351,7,24,8507.97,0,3,0,0,1,9.001231999,197.470195,1852.503069
352,3,48,64420.19,0,3,2,0,0,10.9750814,192.456745,1312.008382
353,0,68,122263.81,1,2,0,0,0,7.825845378,162.471255,863.0820861
354,3,74,64446.9,1,2,0,0,0,14.12966281,222.660939,1854.793303
355,1,37,20647.83,0,1,0,0,0,14.66914461,114.950905,1778.431765
356,0,54,23956.91,1,1,0,0,0,5.388165017,182.446995,764.2419259
357,1,84,56003.36,0,1,0,0,1,2.810825808,95.005709,307.018806
358,10,68,50150.81,1,2,0,0,0,2.485229169,172.456745,1179.782483
359,10,39,4180.22,0,1,0,0,1,2.051069457,177.65076,1040.034575
360,4,85,70023.28,0,2,0,0,0,6.10108047,207.638588,1080.159892
361,1,86,40728.96,1,2,0,0,0,4.950398978,220.118516,775.5613336
362,1,70,69248.13,0,1,0,0,0,10.16660427,137.468388,1061.587971
363,1,33,65187.42,1,2,0,0,0,12.29558653,159.965008,1334.403775
364,1,58,26005.77,0,1,0,0,1,24.8868126,182.465269,2346.143947
365,2,58,10423.75,0,1,1,0,1,9.660361769,129.977753,1491.768656
