dependent,married,gender,churn,contract,internet_service,phone,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,tenure,monthly_charge,dataset
No,No,Female,No,Two year,None,Yes,Yes,No,Yes,No,Yes,No,No,No,eCheck,4.0,147.49,wgu telecom
Yes,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Yes,Yes,eCheck,5.0,230.11,wgu telecom
Yes,No,Male,Yes,Month-to-month,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,eCheck,21.0,174.96,wgu telecom
Yes,No,Male,Yes,One year,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Check,3.0,267.66,wgu telecom
Yes,No,Male,Yes,Month-to-month,DSL,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Check,5.0,162.48,wgu telecom
Yes,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Autopay,3.0,229.99,wgu telecom
Yes,No,Female,No,One year,DSL,Yes,Yes,Yes,No,Yes,No,No,No,Yes,eCheck,7.0,140.0,wgu telecom
Yes,No,Female,No,Two year,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Autopay,10.0,184.96,wgu telecom
Yes,No,Male,No,Two year,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,No,eCheck,16.0,147.47,wgu telecom
Yes,No,Female,No,Month-to-month,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Check,9.0,172.46,wgu telecom
Yes,Yes,Male,No,Month-to-month,DSL,Yes,No,Yes,No,No,Yes,No,No,Yes,eCheck,3.0,107.48,wgu telecom
Yes,No,Male,Yes,Two year,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Autopay,4.0,255.14,wgu telecom
Yes,No,Male,No,Two year,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,Yes,eCheck,19.0,192.46,wgu telecom
No,No,Female,Yes,Two year,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Autopay,9.0,242.63,wgu telecom
Yes,No,Female,Yes,Month-to-month,None,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,eCheck,10.0,245.17,wgu telecom
Yes,No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Autopay,22.0,184.96,wgu telecom
Yes,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Autopay,9.0,195.01,wgu telecom
Yes,No,Female,No,Two year,None,Yes,No,No,No,No,No,Yes,No,No,Autopay,8.0,104.96,wgu telecom
Yes,Yes,Female,No,Month-to-month,None,Yes,No,No,No,No,Yes,No,No,Yes,eCheck,12.0,92.49,wgu telecom
Yes,No,Female,Yes,Month-to-month,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Autopay,3.0,184.98,wgu telecom
Yes,No,Female,Yes,Month-to-month,None,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Autopay,7.0,187.66,wgu telecom
Yes,No,Female,No,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,Yes,eCheck,5.0,149.96,wgu telecom
No,No,Female,Yes,One year,Fiber Optic,Yes,Yes,No,No,No,No,Yes,No,Yes,Autopay,2.0,169.94,wgu telecom
No,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Check,12.0,160.0,wgu telecom
Yes,No,Female,No,One year,DSL,Yes,No,No,No,Yes,No,Yes,No,No,Check,14.0,129.96,wgu telecom
Yes,Yes,Male,Yes,Month-to-month,DSL,Yes,No,No,Yes,No,No,No,No,Yes,eCheck,10.0,114.95,wgu telecom
Yes,No,Female,No,Two year,None,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Check,7.0,142.52,wgu telecom
Yes,No,Male,Yes,Two year,None,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Autopay,16.0,220.15,wgu telecom
No,No,Female,No,Two year,Fiber Optic,Yes,No,No,No,Yes,No,No,No,Yes,eCheck,7.0,124.98,wgu telecom
Yes,No,Female,No,One year,DSL,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Check,3.0,164.96,wgu telecom
Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No,No,eCheck,2.0,194.98,wgu telecom
No,No,Female,Yes,Month-to-month,DSL,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Check,8.0,152.46,wgu telecom
Yes,No,Male,No,Month-to-month,None,Yes,No,No,No,Yes,No,No,No,No,Check,12.0,92.5,wgu telecom
Yes,No,Female,No,Month-to-month,None,Yes,No,No,No,Yes,No,No,Yes,Yes,eCheck,10.0,127.49,wgu telecom
Yes,No,Male,No,Two year,DSL,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Autopay,8.0,184.96,wgu telecom
Yes,Yes,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Autopay,4.0,265.15,wgu telecom
Yes,No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,No,Autopay,11.0,207.61,wgu telecom
No,No,Male,No,Month-to-month,DSL,Yes,Yes,Yes,No,No,No,Yes,No,No,eCheck,12.0,152.46,wgu telecom
Yes,No,Female,Yes,Month-to-month,DSL,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Autopay,2.0,200.13,wgu telecom
Yes,Yes,Female,Yes,One year,None,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,eCheck,24.0,212.66,wgu telecom
No,No,Male,Yes,One year,DSL,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Autopay,4.0,255.12,wgu telecom
Yes,Yes,Female,No,Two year,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Yes,Autopay,8.0,134.95,wgu telecom
Yes,No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,eCheck,9.0,255.14,wgu telecom
Yes,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Autopay,2.0,214.97,wgu telecom
Yes,Yes,Female,Yes,One year,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,eCheck,5.0,270.16,wgu telecom
Yes,No,Female,Yes,Two year,None,No,No,No,No,Yes,Yes,Yes,Yes,Yes,eCheck,1.0,200.17,wgu telecom
Yes,No,Male,No,Two year,DSL,Yes,No,No,Yes,No,No,No,Yes,No,Autopay,20.0,149.94,wgu telecom
Yes,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Check,25.0,240.11,wgu telecom
No,No,Male,No,Month-to-month,Fiber Optic,Yes,No,Yes,No,Yes,No,No,No,Yes,Autopay,10.0,127.5,wgu telecom
Yes,Yes,Female,Yes,One year,DSL,Yes,No,No,No,No,No,Yes,Yes,No,eCheck,10.0,187.61,wgu telecom
No,No,Male,No,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,Yes,No,No,No,Autopay,8.0,169.99,wgu telecom
Yes,No,Female,No,Two year,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,No,Check,19.0,192.46,wgu telecom
Yes,No,Male,No,Month-to-month,DSL,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Autopay,14.0,120.0,wgu telecom
Yes,No,Female,No,One year,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Autopay,2.0,195.01,wgu telecom
No,No,Male,No,One year,Fiber Optic,Yes,No,Yes,No,No,No,Yes,No,Yes,Autopay,2.0,139.96,wgu telecom
Yes,No,Male,No,Month-to-month,None,Yes,No,No,Yes,No,Yes,No,No,Yes,Autopay,5.0,114.98,wgu telecom
No,No,Female,Yes,Month-to-month,None,Yes,Yes,No,No,No,No,Yes,Yes,No,eCheck,4.0,207.64,wgu telecom
Yes,No,Female,Yes,Month-to-month,DSL,Yes,No,No,No,No,No,Yes,Yes,Yes,eCheck,4.0,187.61,wgu telecom
No,No,Female,No,One year,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Yes,Autopay,4.0,134.95,wgu telecom
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Check,2.0,192.47,wgu telecom
No,No,Female,Yes,Month-to-month,DSL,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Check,14.0,222.63,wgu telecom
No,No,Female,No,Two year,Fiber Optic,Yes,No,Yes,No,No,Yes,No,Yes,Yes,eCheck,3.0,162.47,wgu telecom
Yes,No,Male,Yes,Two year,DSL,Yes,Yes,No,Yes,Yes,No,No,No,No,eCheck,20.0,159.98,wgu telecom
No,No,Male,No,Two year,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Check,18.0,184.98,wgu telecom
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Autopay,5.0,245.15,wgu telecom
No,Yes,Female,No,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,No,No,No,No,eCheck,7.0,124.98,wgu telecom
Yes,No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Check,13.0,187.48,wgu telecom
Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Check,20.0,162.5,wgu telecom
No,No,Male,No,One year,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,No,Yes,eCheck,7.0,182.47,wgu telecom
No,No,Male,Yes,Month-to-month,None,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Autopay,14.0,222.66,wgu telecom
Yes,No,Male,No,One year,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Autopay,11.0,182.47,wgu telecom
No,No,Female,Yes,Month-to-month,None,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Check,3.0,220.16,wgu telecom
Yes,No,Male,No,Two year,Fiber Optic,Yes,No,No,Yes,No,No,No,Yes,Yes,eCheck,17.0,169.94,wgu telecom
No,No,Male,Yes,Month-to-month,Fiber Optic,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Check,23.0,204.96,wgu telecom
Yes,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,No,No,eCheck,4.0,204.96,wgu telecom
Yes,No,Female,Yes,Month-to-month,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Autopay,11.0,245.13,wgu telecom
Yes,No,Nonbinary,Yes,Month-to-month,None,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Autopay,13.0,172.47,wgu telecom
No,Yes,Male,Yes,Month-to-month,DSL,No,Yes,No,No,No,Yes,No,Yes,No,Autopay,15.0,172.46,wgu telecom
Yes,Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,eCheck,9.0,194.98,wgu telecom
Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,Yes,No,Yes,Autopay,5.0,137.44,wgu telecom
Yes,No,Female,Yes,Two year,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Autopay,7.0,192.47,wgu telecom
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,No,Yes,No,Yes,No,Check,3.0,159.95,wgu telecom
Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,No,No,Yes,Autopay,18.0,112.46,wgu telecom
No,No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Check,13.0,174.96,wgu telecom
No,No,Female,No,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,No,No,Autopay,23.0,162.45,wgu telecom
Yes,Yes,Female,No,One year,DSL,Yes,Yes,No,No,Yes,No,No,No,Yes,Check,6.0,137.48,wgu telecom
Yes,No,Female,No,Two year,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,eCheck,13.0,275.13,wgu telecom
Yes,Yes,Male,Yes,Month-to-month,DSL,Yes,No,No,No,No,No,No,Yes,No,eCheck,7.0,127.44,wgu telecom
No,No,Male,Yes,Two year,None,Yes,No,No,Yes,No,Yes,Yes,Yes,No,eCheck,9.0,210.14,wgu telecom
Yes,No,Female,No,Two year,DSL,Yes,Yes,No,Yes,No,No,No,No,Yes,Autopay,22.0,147.46,wgu telecom
Yes,No,Male,Yes,One year,None,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Autopay,5.0,242.66,wgu telecom
Yes,No,Male,No,Month-to-month,None,Yes,No,No,Yes,No,Yes,No,No,Yes,Check,10.0,114.98,wgu telecom
Yes,No,Female,No,Month-to-month,None,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Autopay,8.0,187.66,wgu telecom
Yes,No,Female,No,Two year,None,Yes,Yes,No,No,Yes,No,Yes,No,No,Autopay,8.0,149.99,wgu telecom
Yes,No,Male,No,Two year,DSL,Yes,Yes,No,No,No,No,No,No,No,Autopay,7.0,124.96,wgu telecom
Yes,No,Male,Yes,Month-to-month,None,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,eCheck,5.0,220.16,wgu telecom
No,No,Male,No,Two year,DSL,No,Yes,No,Yes,Yes,Yes,No,No,No,Autopay,10.0,172.49,wgu telecom
No,No,Male,No,Two year,DSL,Yes,No,Yes,No,Yes,Yes,No,No,No,eCheck,4.0,120.0,wgu telecom
Yes,No,Male,Yes,Month-to-month,None,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Check,5.0,220.16,wgu telecom
No,No,Female,Yes,Month-to-month,DSL,Yes,No,No,No,Yes,No,No,Yes,Yes,Check,6.0,139.97,wgu telecom
Yes,No,Female,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,Yes,No,Yes,Yes,Check,3.0,159.95,wgu telecom
Yes,No,Female,Yes,Month-to-month,DSL,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Autopay,9.0,184.95,wgu telecom
Yes,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Check,10.0,252.64,wgu telecom
Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,No,No,Yes,Autopay,9.0,112.46,wgu telecom
Yes,Yes,Male,No,Two year,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,No,Yes,eCheck,8.0,179.98,wgu telecom
Yes,Yes,Male,No,One year,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Autopay,6.0,202.44,wgu telecom
Yes,No,Male,No,One year,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Autopay,7.0,197.47,wgu telecom
Yes,No,Female,Yes,One year,Fiber Optic,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Check,15.0,255.16,wgu telecom
No,Yes,Female,Yes,Month-to-month,DSL,Yes,Yes,No,No,Yes,Yes,Yes,No,No,eCheck,12.0,174.98,wgu telecom
Yes,No,Female,No,Two year,Fiber Optic,Yes,Yes,No,No,Yes,Yes,No,No,Yes,eCheck,4.0,169.99,wgu telecom
Yes,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Autopay,3.0,192.44,wgu telecom
Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,Yes,Yes,No,No,Yes,No,Autopay,3.0,182.46,wgu telecom
Yes,No,Male,No,One year,DSL,Yes,No,No,No,Yes,No,No,Yes,No,Autopay,5.0,139.97,wgu telecom
Yes,Yes,Male,Yes,Month-to-month,None,Yes,No,No,Yes,No,No,No,Yes,Yes,eCheck,3.0,137.46,wgu telecom
Yes,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Autopay,3.0,217.47,wgu telecom
Yes,No,Nonbinary,Yes,Two year,None,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Check,3.0,210.14,wgu telecom
Yes,No,Male,No,Two year,DSL,No,No,No,No,No,Yes,No,No,Yes,eCheck,16.0,104.96,wgu telecom
Yes,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Autopay,12.0,262.61,wgu telecom
Yes,Yes,Female,Yes,Month-to-month,None,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Autopay,7.0,152.49,wgu telecom
Yes,No,Female,Yes,One year,DSL,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Autopay,6.0,174.97,wgu telecom
Yes,No,Female,No,One year,Fiber Optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Autopay,15.0,220.12,wgu telecom
Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,No,No,Check,6.0,162.45,wgu telecom
Yes,Yes,Female,Yes,Month-to-month,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Check,3.0,184.96,wgu telecom
Yes,No,Male,No,One year,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,eCheck,19.0,217.48,wgu telecom
Yes,Yes,Female,No,Two year,Fiber Optic,Yes,No,No,No,No,Yes,Yes,Yes,No,Check,14.0,220.12,wgu telecom
No,No,Female,Yes,One year,None,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Autopay,8.0,187.64,wgu telecom
Yes,No,Male,No,Two year,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,eCheck,6.0,174.96,wgu telecom
No,Yes,Male,Yes,Two year,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,eCheck,20.0,252.64,wgu telecom
No,No,Male,No,One year,None,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Autopay,15.0,130.02,wgu telecom
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes,No,Autopay,3.0,162.48,wgu telecom
Yes,Yes,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Autopay,12.0,182.47,wgu telecom
Yes,Yes,Female,No,Two year,DSL,Yes,No,No,Yes,No,No,Yes,No,Yes,Check,6.0,139.93,wgu telecom
Yes,No,Female,Yes,Two year,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Check,11.0,200.17,wgu telecom
Yes,Yes,Male,Yes,Two year,None,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Check,16.0,202.68,wgu telecom
Yes,No,Female,No,Two year,Fiber Optic,Yes,No,No,No,No,Yes,No,Yes,No,eCheck,13.0,159.95,wgu telecom
Yes,Yes,Female,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,Yes,Yes,No,Yes,Check,8.0,149.95,wgu telecom
Yes,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,No,No,No,No,Yes,Yes,eCheck,8.0,149.96,wgu telecom
Yes,No,Male,No,Two year,DSL,Yes,Yes,No,No,No,Yes,No,No,No,eCheck,12.0,137.47,wgu telecom
Yes,No,Male,Yes,One year,None,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Autopay,10.0,187.66,wgu telecom
No,Yes,Male,Yes,Month-to-month,DSL,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Check,16.0,164.99,wgu telecom
No,Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,No,Autopay,14.0,159.97,wgu telecom
No,No,Female,No,One year,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,No,Yes,eCheck,19.0,172.46,wgu telecom
No,No,Female,Yes,Two year,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Yes,No,No,eCheck,10.0,204.95,wgu telecom
Yes,No,Male,No,One year,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,No,eCheck,7.0,147.47,wgu telecom
Yes,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,No,No,eCheck,13.0,162.47,wgu telecom
Yes,No,Male,No,Two year,DSL,Yes,No,Yes,No,No,No,Yes,No,No,Check,9.0,119.96,wgu telecom
Yes,No,Female,Yes,One year,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,No,Autopay,4.0,207.61,wgu telecom
Yes,No,Female,No,One year,None,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Check,3.0,195.0,wgu telecom
No,No,Nonbinary,No,Two year,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Autopay,6.0,174.98,wgu telecom
Yes,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,No,Check,16.0,240.11,wgu telecom
Yes,No,Nonbinary,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Autopay,23.0,240.11,wgu telecom
Yes,No,Male,No,One year,DSL,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Check,17.0,139.98,wgu telecom
No,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Autopay,13.0,240.11,wgu telecom
Yes,No,Female,Yes,Two year,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Autopay,5.0,209.99,wgu telecom
Yes,No,Female,No,Two year,DSL,Yes,Yes,No,Yes,No,No,No,No,No,Check,4.0,147.46,wgu telecom
Yes,No,Male,No,Month-to-month,DSL,Yes,No,Yes,No,Yes,No,No,No,Yes,Check,8.0,107.5,wgu telecom
Yes,No,Female,Yes,Month-to-month,None,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Autopay,2.0,152.5,wgu telecom
Yes,No,Female,No,One year,None,Yes,No,No,No,No,No,No,No,No,Autopay,6.0,79.98,wgu telecom
No,Yes,Female,No,Two year,DSL,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Check,7.0,142.48,wgu telecom
No,No,Female,No,One year,DSL,Yes,No,No,No,No,No,Yes,No,Yes,Autopay,1.0,117.44,wgu telecom
Yes,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,No,Yes,Yes,Yes,eCheck,12.0,220.13,wgu telecom
Yes,Yes,Male,Yes,Two year,DSL,Yes,No,Yes,Yes,No,No,No,Yes,Yes,eCheck,3.0,152.46,wgu telecom
No,No,Female,No,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Yes,No,No,eCheck,10.0,174.96,wgu telecom
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Autopay,4.0,202.44,wgu telecom
Yes,No,Male,Yes,Two year,Fiber Optic,Yes,No,Yes,No,No,No,Yes,Yes,No,Autopay,3.0,210.13,wgu telecom
Yes,No,Female,No,One year,None,Yes,No,Yes,Yes,No,No,No,Yes,No,Autopay,16.0,139.98,wgu telecom
Yes,No,Male,No,Two year,DSL,Yes,No,No,No,Yes,No,No,Yes,No,Check,6.0,139.97,wgu telecom
