,children,age,online_security,monthly_charge,bandwidth_gb_year
3118,1,43,0,172.4579,1373.225547
3728,1,55,0,112.4551,426.4255699
3886,6,74,0,204.9634,1026.361306
7107,8,52,0,169.9447,5464.592624
8068,0,60,0,114.9509,4839.528738
7325,2,65,0,114.9509,5626.567359
8483,0,53,0,129.9621,3715.869075
8767,2,68,0,117.4392,6309.777908
6500,4,43,0,127.4586,5527.897933
8426,4,58,1,129.9926,4409.527019
7963,1,26,0,157.4836,5062.276295
601,1,56,0,139.934918,909.6827162
9249,4,68,0,222.6281,6605.855412
8919,3,30,0,137.4392,5748.685143
6814,5,30,0,147.4564,6072.987281
5411,1,40,0,204.9634,5563.392672
8747,2,36,0,184.9496,5533.878378
5522,3,81,0,117.4872,6071.058616
1044,5,78,0,182.460772,1674.078908
7334,2,23,0,104.9643,6325.692413
1557,1,19,1,162.482694,1359.631961
3739,1,36,0,207.6094,650.9200141
3522,0,42,0,112.4551,321.8958659
180,1,67,0,240.114868,1781.854862
2115,4,83,1,174.991,1231.728594
1699,8,76,1,127.495766,1630.020341
1379,4,64,0,169.944668,1507.046722
7229,1,44,1,174.9755,4952.728891
9143,3,19,0,152.4579,6309.663687
618,1,37,0,159.951231,477.2500925
3181,0,38,0,149.9707,1958.648355
9851,0,31,1,142.5007,5597.924969
1600,1,49,0,137.469817,1737.873621
5963,1,55,1,114.9728,5931.909999
1615,1,25,0,137.439154,952.3729916
5920,0,78,0,194.9663,5735.231545
9591,4,78,0,174.9699,4970.689824
3891,8,37,0,147.4738,1180.747336
2083,2,77,1,162.4827,531.0770713
4574,0,70,0,255.1198,3575.871459
5594,4,89,0,127.5067,5401.505392
5121,0,33,0,124.9781,5361.461661
4587,6,74,0,79.97886,436.2644992
4902,3,24,0,169.9447,1278.614923
8252,0,48,0,194.9525,4807.120751
5916,4,29,1,209.9931,4735.622867
5129,4,73,0,125.0073,5705.264431
8334,1,27,1,164.9715,6050.815837
1918,2,49,0,162.467607,2100.288363
8330,0,43,0,207.6386,5122.454947
5707,2,37,0,255.1372,5401.877883
5384,1,23,0,194.9699,5026.107394
6336,2,86,0,204.9496,5477.999845
2054,1,82,0,192.4404,500.6893216
7612,2,82,0,162.447,4835.577166
9209,0,52,1,162.4526,5612.009142
3963,2,25,1,164.9715,1593.482092
1126,1,23,0,167.456419,1142.427499
3428,0,27,1,207.4974,855.8268713
4601,2,48,0,129.9483,1340.469295
3721,4,78,0,194.9699,1003.915085
2389,1,28,0,172.4742,598.858359
1322,0,48,0,194.976769,592.8646912
1603,3,75,0,157.469817,306.0664281
7224,0,25,0,182.4762,4614.576112
7425,5,28,0,147.4601,5753.824737
4336,1,22,1,139.9875,2520.720283
5593,6,74,0,149.9378,6135.141648
4411,1,29,0,149.9928,1002.424825
5858,3,58,0,192.4885,5995.290634
9343,0,88,1,190.1737,6391.040605
3991,2,30,0,159.9794,901.9731056
6079,2,18,1,162.4526,5182.334759
1559,1,49,0,112.484375,859.8649518
4682,7,26,0,230.1344,1553.750811
7557,2,25,1,150.0208,5326.224652
3772,2,50,1,162.4653,1422.2449
8779,2,51,0,172.4567,5534.707356
3457,4,57,1,172.4624,1409.472824
8383,3,72,0,124.9607,5929.34648
1354,1,76,0,172.503404,742.7794122
45,2,44,1,245.174977,1710.689671
9872,1,60,0,175.1331,5321.961115
748,0,25,1,172.484753,866.8410599
7917,2,79,0,182.4538,5920.786804
4241,2,56,0,149.9621,760.1831445
5628,0,87,0,112.4844,4551.440341
4657,0,23,0,182.4608,998.0645117
4238,0,49,1,162.4653,1620.224811
3460,2,22,0,149.9845,1727.365848
7381,4,66,0,159.9476,6548.644506
5549,3,47,0,159.9642,4347.952465
7075,8,29,1,139.9875,5801.742401
5838,0,18,1,177.4876,5066.934116
8091,0,19,0,240.1149,5989.298293
5474,8,27,0,184.9634,6641.027483
3614,4,41,0,149.9447,988.3464184
7501,1,63,0,252.6378,5993.520721
7053,2,36,1,132.466,6621.09271
7367,0,53,0,159.9794,5468.390333
8019,0,48,1,172.4624,5172.422992
9638,2,60,0,267.6427,6752.652755
9055,2,77,0,179.9476,5972.406287
664,1,33,1,142.500692,1766.503802
2319,2,87,1,139.9792,767.624909
3542,0,78,0,127.4421,1563.141746
3677,3,44,0,169.9378,1767.444722
9599,10,30,0,129.9483,4968.246217
3091,0,44,0,162.4608,2233.112834
675,2,86,0,169.944668,1014.45747
8676,1,30,0,204.9634,4563.3631
4884,1,51,1,197.4876,1964.367635
8079,4,38,0,172.4567,6667.408481
1962,1,57,0,162.460772,1647.420385
1840,9,83,1,95.019486,878.7051436
7168,2,70,0,172.4885,5490.29487
9898,0,68,0,242.6281,5435.522187
3538,3,52,1,247.6647,2850.191042
8026,7,82,0,179.9476,4887.271461
4866,0,28,0,104.9629,453.3963183
4174,1,40,0,129.9621,949.9087685
8088,0,81,0,179.9794,4073.89846
4377,4,79,1,267.6647,1560.396967
6211,0,31,1,190.127,6246.190895
4766,1,23,0,220.1185,895.556806
411,1,88,1,175.006206,1570.345219
613,1,19,0,159.965008,587.538153
6126,0,64,0,139.9512,5176.004699
5210,0,61,0,232.6415,4421.565715
1430,1,86,1,270.160419,1998.877156
2425,2,61,1,237.6549,2353.047822
8841,0,28,0,112.4844,4938.967049
3833,2,23,1,257.6549,1469.056257
4718,2,34,0,182.4608,632.4760401
7185,1,79,0,139.9816,5897.501471
1417,1,59,1,127.481989,1997.134556
7199,0,24,0,255.1372,4844.338366
604,0,55,1,139.95684,1435.057667
1272,2,18,1,115.002061,1679.045392
3964,1,82,0,114.9658,1448.715638
6367,0,61,1,175.0062,5083.028968
8746,1,28,0,242.6435,5158.501952
247,2,63,1,137.497825,1381.538548
9226,1,75,1,167.4847,5736.40115
1982,0,82,0,179.947583,2234.450325
2835,4,65,0,124.9781,1185.107111
5375,7,63,0,137.4392,5964.347127
199,6,36,0,102.474625,558.2340556
485,3,29,1,127.495766,497.9042695
6083,3,69,1,142.5007,4121.283443
8956,1,67,0,220.1615,5558.549267
455,2,25,1,212.669463,1259.735294
9798,4,62,1,174.9755,5909.336061
8826,0,22,1,149.9598,5264.734623
6515,2,30,1,147.4783,5062.064883
1721,0,56,0,204.963371,616.51937
7050,2,18,0,194.9768,6145.669296
6382,0,60,1,222.65,4233.959568
8165,0,72,0,187.6094,6608.57453
5767,1,19,0,149.9621,5514.944335
5809,3,81,1,162.5299,6074.151439
4626,9,31,0,220.1149,2186.78593
862,4,51,0,169.992756,441.5863902
2094,8,70,1,152.4624,1572.631084
947,10,20,0,144.960655,641.845268
5641,3,56,0,147.4564,5653.372513
1444,4,46,1,127.511223,885.546457
1280,1,55,0,207.609354,2221.139588
3110,2,59,0,139.9512,877.5328489
8952,0,34,0,245.147,6646.927545
7609,3,40,0,149.9707,5919.39345
5135,0,42,0,252.6378,5940.543417
3016,3,70,0,210.1518,1277.067543
2302,0,67,0,202.4433,479.1497047
2004,5,49,1,242.6326,1410.771138
4580,1,31,0,149.9776,1248.354542
8704,3,42,1,245.1457,5980.394774
1005,1,79,1,139.95684,1298.399804
5138,1,29,1,245.1283,6199.767982
4317,0,83,0,147.4738,978.1726612
6558,0,67,1,132.4798,5163.021507
4387,0,21,1,207.4811,2422.231415
2132,1,64,0,220.1323,713.7053321
4265,1,83,0,159.9476,1704.12272
2057,4,44,1,107.4806,3022.776148
5386,4,26,0,182.4608,5441.933092
229,1,43,1,195.006206,1447.196935
2889,2,72,0,187.656,1750.253059
4472,2,88,0,184.967,1209.083545
6064,7,86,0,175.1331,4778.015995
7924,1,56,0,139.965,4663.083428
7649,4,51,0,159.9942,5246.927502
8381,8,67,1,140.0049,6024.530188
209,2,75,1,119.95684,1639.898269
2758,1,50,0,204.9797,895.0975786
8471,0,63,1,127.4783,4932.430411
2948,1,34,1,245.1457,1501.794265
7116,1,89,1,127.5112,3891.647782
6330,1,21,0,167.4564,5064.686588
1728,1,75,1,194.958118,2419.797484
4176,0,82,1,169.9741,877.6347728
337,6,69,0,252.62403,745.0493094
4984,3,71,1,127.4783,1424.784732
6878,2,43,1,290.1604,6600.127641
7248,7,20,0,139.9512,5304.643513
8452,1,61,0,117.4392,6205.418228
1226,4,47,0,184.949594,1468.00712
7608,1,82,1,129.9598,6235.95972
6827,0,84,0,144.9607,3842.137812
3540,1,71,0,194.9699,1125.724207
5868,7,74,0,152.4441,6093.493249
2111,3,44,0,172.4441,912.4311552
2691,0,66,1,257.6549,2074.948906
7153,4,44,0,92.45514,6175.153891
3707,4,42,0,242.6573,1819.192603
1017,6,65,0,117.485813,1223.869565
8511,0,76,0,124.9643,5774.340454
2807,2,37,0,149.9928,993.4525617
5015,0,56,0,127.4887,5477.047906
1928,1,77,0,147.503078,1824.510182
350,0,37,0,200.132293,1436.408211
5173,4,58,0,240.1149,5527.671776
4192,3,39,0,137.4836,1027.507457
1934,3,32,1,202.649979,2425.149963
6901,2,31,0,204.9634,4181.937026
4823,0,59,1,149.9778,471.7954635
564,1,43,0,134.950905,338.2592054
1582,8,32,0,162.45383,2025.927893
4694,5,77,0,124.9643,835.073392
2175,2,71,1,117.4835,2744.394944
7028,1,36,0,92.45514,4984.657525
4880,0,47,1,197.4702,1348.318284
2228,2,24,0,139.9816,1297.915797
1115,3,40,0,240.114868,2136.125116
3126,4,84,0,220.1185,893.3552968
3544,3,49,1,162.497,1782.253032
5048,3,80,0,172.5034,5671.821266
7476,1,86,0,134.9801,5725.974592
821,4,82,0,242.61428,2551.579661
6532,4,49,1,222.6326,6915.693645
2272,2,79,0,235.1372,1588.073926
5545,0,71,1,162.4653,4318.755591
81,0,31,0,169.992756,943.3391244
1323,0,42,0,112.455141,1055.617042
9405,2,58,0,137.4616,5245.350989
1614,2,38,1,184.978458,1265.78479
831,1,76,0,207.638588,635.4288732
3883,4,46,0,197.4725,1418.137965
8641,2,76,0,162.4713,4159.078651
4464,2,39,1,154.9919,1691.271964
5339,1,47,0,127.4738,3812.804172
8066,0,39,1,190.127,5934.168034
1649,8,82,0,220.114868,1540.140383
4065,0,73,1,242.6326,2280.034122
9665,1,26,0,204.9496,5550.413849
3038,1,36,0,222.6143,2304.085004
3320,0,48,1,120.0035,1606.304191
7143,4,38,1,190.1737,6619.007955
6889,0,72,0,159.9512,4581.577784
5092,3,85,0,230.1344,4966.563579
3720,1,49,1,232.652,1163.644754
2423,1,25,0,159.983,916.275075
749,0,88,0,169.937833,1960.019242
5271,3,25,1,152.4624,6443.376935
2373,4,89,0,172.4705,1531.239282
4693,0,41,1,94.97283,830.1003254
9879,3,64,0,127.4421,5551.218207
8370,0,78,0,220.1615,5943.037284
7319,1,89,0,220.1149,6321.808564
4368,3,81,0,194.9699,956.2196954
6785,0,25,0,222.6143,6580.30162
7401,1,33,1,215.1591,6329.040598
1139,0,82,0,242.610632,1267.731181
7631,2,37,0,169.9447,5723.066248
2231,1,19,0,242.6281,1946.937264
2164,2,33,1,210.127,1291.871722
5217,0,47,0,169.9378,6079.400361
9444,2,35,1,235.1591,3729.770527
9237,5,48,0,242.6143,6175.832114
4561,1,75,1,237.6549,2037.626802
1570,3,30,0,137.439154,996.4395858
172,0,38,1,172.462354,1974.780054
7163,4,81,0,262.6106,6150.804869
2087,3,63,1,152.5104,1583.398883
4667,8,47,0,179.9476,2038.787429
4565,3,71,1,257.6513,1801.105672
7089,1,79,0,194.9699,5852.331432
6569,0,73,0,114.9658,5632.15471
4783,6,70,0,204.9634,1185.478786
2684,1,35,0,127.4421,1108.726166
1832,1,34,0,192.456745,1398.114035
8546,1,77,1,117.4835,6100.344382
5065,8,72,0,159.9642,5556.247274
9130,1,67,0,172.4871,4091.156525
9355,2,78,0,159.9942,5452.509295
4412,0,29,1,94.97283,1618.779462
7207,1,67,0,179.9794,4282.995447
9890,1,31,0,149.9928,5626.984861
834,1,19,0,169.944668,958.0823564
6821,0,77,1,162.5119,5066.909377
3781,5,67,0,182.4608,867.400478
9012,0,60,1,154.9618,5452.591282
7499,9,65,1,212.6695,5645.101799
3424,4,30,0,204.9797,1275.449066
65,2,63,0,184.963371,1570.641337
2963,6,62,0,149.9776,901.932094
5669,3,19,0,159.9476,4652.920592
8962,4,89,1,257.6841,5599.136827
354,3,74,0,222.660939,1854.793303
8171,5,86,0,152.4441,4123.921101
4030,0,40,0,169.9378,373.4091813
8534,3,52,0,179.9476,5820.087969
3651,7,43,1,147.4783,1031.328337
6739,4,64,0,112.4551,4886.743042
3297,4,50,0,92.45514,785.2993593
4127,0,64,0,172.4567,946.9600501
8043,0,20,1,119.9897,5871.273948
4767,7,68,0,252.6378,977.9075314
472,2,34,0,117.485813,776.4780765
3761,1,72,0,182.4676,1403.146012
8617,1,21,0,207.4754,5648.31533
3566,3,24,0,192.4885,2063.282237
2760,6,48,0,157.4698,1221.300132
868,1,63,0,127.458638,1040.933456
9382,0,33,0,114.9509,5869.378889
8688,3,79,0,194.9699,5766.226735
4052,1,79,0,275.1336,1744.354966
6130,1,47,0,184.9797,5901.89928
3244,3,29,0,137.4616,1037.253154
4842,7,49,0,212.6415,1569.607544
9330,10,18,0,240.1149,5394.514435
5640,2,61,0,184.9797,6518.166442
5780,0,63,0,114.9658,4920.518248
8540,2,54,0,172.4567,6376.192688
1075,5,80,0,242.628057,951.2972085
2957,0,23,0,124.9781,888.4950848
6752,0,46,1,184.9853,5061.170302
8657,0,86,1,177.4876,6678.820787
7272,0,30,1,129.9926,5926.760477
4759,0,37,0,207.6094,804.7021179
4862,2,63,0,104.9781,1231.447125
7025,0,50,1,144.9889,6528.343934
7647,7,72,0,157.4836,3716.351124
7161,0,82,1,169.9741,3542.766428
73,3,35,0,255.137219,1577.915603
4901,0,75,1,232.6228,808.114485
4375,2,34,0,200.1323,1892.444874
6698,6,85,0,220.1149,6395.153415
9805,0,45,0,207.6094,5773.173421
1101,7,72,1,142.500692,1571.814704
9537,3,87,0,117.4872,5375.881358
7655,4,56,0,255.1198,5925.343914
5235,5,37,1,114.9728,6210.519966
5165,0,88,0,172.4441,5997.071735
118,3,61,0,127.442069,1290.737183
2022,0,31,0,162.4608,1411.701061
9885,1,52,0,252.6378,5857.728582
2638,0,88,1,184.9647,428.5644943
2034,7,18,0,149.9378,1669.828557
2564,1,79,1,245.1283,1501.093332
8665,0,87,0,157.4836,4491.178233
3543,1,85,0,220.1323,1525.934554
1219,3,49,1,139.987503,2649.830017
9714,6,29,1,277.6513,6126.605256
6711,2,52,1,132.5127,5208.893265
2903,4,65,1,219.9902,1254.859385
3026,4,82,0,200.1323,2733.904187
2510,1,43,0,147.4601,834.8359967
4201,8,20,1,164.9785,1895.230077
3207,1,77,1,162.497,1307.120014
4489,0,74,1,270.1604,1341.275592
2755,0,37,0,149.9447,1425.150573
8889,1,55,0,112.4551,3840.965627
177,6,51,0,207.609354,937.5863866
1643,3,73,1,215.159141,2056.185889
9292,0,51,1,174.991,6192.63762
3518,1,63,0,152.4579,1456.082414
1374,4,60,0,242.657291,2730.054658
1720,3,47,0,182.460772,1103.011016
3995,5,35,0,79.97886,1683.407282
3688,2,72,1,172.4624,993.0023112
2264,4,63,0,127.475,626.8266819
87,0,66,0,207.638588,777.3060718
2848,3,84,1,164.9889,1064.595704
8687,4,44,0,139.9678,4553.52168
403,0,19,0,210.138,952.5914921
9900,1,56,1,132.4798,4992.984164
4077,0,27,1,217.484,756.1541962
6835,0,64,0,182.4608,5691.001621
6537,0,72,0,192.4404,4192.87684
2456,3,79,0,129.9483,712.4768186
2751,4,18,0,169.9447,1169.714886
2214,7,60,0,92.45514,1106.403216
1027,1,36,0,182.446995,682.9095847
9703,0,85,0,169.9928,5691.599692
1421,1,22,0,217.472533,839.4587853
2436,3,54,0,182.4538,552.2795704
4277,0,26,0,212.6415,1330.057877
9609,3,78,0,187.656,5020.535562
1278,0,87,1,215.159141,1774.760154
6220,0,77,1,222.6362,4964.396722
4907,1,46,1,164.9853,2563.027756
5064,5,41,0,159.965,6095.07687
1978,1,49,1,129.977753,2010.958936
1061,2,74,0,242.61428,913.521381
5014,3,46,1,152.4555,6715.662535
4535,4,39,0,172.4871,2082.760575
6993,0,35,1,137.4686,5896.604353
9253,6,21,0,172.4705,6484.077095
1502,1,31,1,245.131966,1726.803854
8568,1,84,0,212.6415,4458.846728
9314,5,30,0,147.4421,5305.771174
8836,0,29,0,129.9483,5537.702266
8920,1,20,1,255.1417,6523.645236
4918,1,55,0,157.4836,1081.276543
678,1,19,0,134.980139,949.785575
5076,0,24,1,139.9568,4969.32191
8064,0,26,0,197.6288,4017.55183
7568,7,46,0,124.9643,4550.793265
102,0,53,0,220.161527,808.4305471
957,0,52,0,220.132293,1943.761302
8556,2,19,0,169.9378,5964.070556
3785,6,75,1,257.6549,906.3706236
9630,0,79,0,124.9643,5231.543507
7173,3,30,1,114.9728,5396.112945
4043,0,41,1,137.4978,1502.957327
2648,3,45,0,182.4676,793.8062657
6000,0,68,1,162.4827,3869.872224
7927,0,30,0,159.9794,6286.517671
2826,0,64,1,152.466,1167.924948
4094,7,29,0,112.4551,849.8471125
7774,9,43,0,159.9794,5658.119795
9258,0,81,0,214.9525,5514.722604
8113,0,64,0,124.9643,4882.901543
4772,1,31,1,150.0208,1099.874685
1947,0,42,0,127.473844,2467.669888
6109,3,68,0,152.4441,6030.712542
2299,2,83,0,92.5018,641.192229
7844,0,31,0,172.4885,4950.103922
4382,1,31,0,157.4836,1747.20978
5425,0,81,1,152.5104,5913.125552
6771,1,75,0,192.4705,5571.868167
8578,1,33,1,137.4978,5880.876863
4291,2,35,0,200.1185,1569.491526
528,0,82,1,149.977753,292.4731737
1233,0,34,0,149.962093,954.1807838
779,1,76,1,194.974431,982.2094626
5859,0,30,0,172.4441,4317.862166
3059,2,42,1,245.1283,1818.572601
8587,0,77,0,207.6094,6230.543177
1860,4,23,0,137.469817,922.4502594
8438,5,32,1,190.1737,4390.887942
7403,3,67,0,172.4579,5084.877488
4639,1,49,1,194.9581,773.5217752
4250,4,25,0,179.9656,787.75587
1992,1,27,0,182.467607,2230.633867
7379,3,64,0,230.1344,4912.438643
7305,3,88,0,92.45514,5118.485777
5303,3,31,0,194.9699,6270.108334
8192,1,55,1,164.9715,6457.28774
7447,4,71,1,94.97283,5624.996529
2471,4,43,0,139.9512,1627.959422
7197,5,36,0,214.9663,4520.939364
5312,1,66,0,142.4713,5031.059535
9035,2,88,0,184.9963,5831.190256
1396,4,52,0,114.965789,1737.043258
4002,5,46,1,147.4783,1326.326983
5371,0,70,1,152.466,4184.902878
3235,1,40,0,220.1615,1012.974384
1042,0,57,0,127.458638,1503.123653
3298,4,63,1,245.175,1076.444999
7256,3,68,1,139.9568,5587.309027
257,7,76,1,142.500692,1078.291303
7286,2,86,0,192.4705,4042.881848
8616,3,82,0,102.4746,5720.467652
7816,4,42,0,134.9801,4387.374407
5843,0,88,0,124.9781,4723.54426
2089,0,39,0,147.4564,1085.979242
7702,2,52,0,169.9928,5210.641825
503,4,81,0,242.628057,1047.361909
5265,0,68,0,159.965,5934.247818
8814,1,29,1,222.65,4666.085107
1345,8,72,1,140.004928,682.4871065
8455,8,33,0,255.1665,6579.180799
5046,3,19,1,267.6647,5502.195694
2248,2,57,1,190.127,1236.080387
4981,1,57,1,95.00571,888.9198648
372,7,36,1,162.452604,2499.186161
8454,1,23,1,217.484,5487.953653
3370,2,67,0,104.9643,1161.650257
2006,4,19,0,275.1336,1418.914101
3656,0,36,1,140.0049,874.8586177
8327,1,73,0,204.9634,5042.032681
7521,0,57,1,164.9785,6548.096564
4001,0,25,1,200.1465,1280.711037
6072,0,75,0,232.6378,6377.789045
8736,0,72,0,230.1051,6028.793302
997,4,81,1,152.509013,1280.37995
8179,0,84,0,172.4705,5981.217808
3290,0,71,0,242.6281,1071.774579
1176,0,38,0,124.97808,639.5093519
551,0,60,1,152.502178,1097.703155
744,2,70,1,162.482694,1386.813604
7223,1,43,1,127.4958,5486.549081
4554,3,67,0,117.472,545.3992275
2859,1,34,0,204.9797,752.2906635
8820,2,49,0,242.6281,5841.624759
3459,0,42,1,207.4974,1051.673689
2724,5,37,1,245.1612,1042.042108
6847,2,58,1,139.9568,5675.878459
7615,0,65,1,152.4798,5025.121526
7547,1,51,1,194.9882,4999.200658
9174,1,80,1,164.9647,5895.135365
6393,0,30,0,112.4551,5345.265159
5358,7,58,1,152.4624,5990.538991
9488,2,70,1,212.6557,5445.472792
2968,0,74,1,152.5104,924.895642
693,4,78,1,154.961766,1831.930109
2533,2,53,0,79.97886,804.9040342
6399,4,65,0,125.0073,4442.819177
982,10,82,1,149.99153,600.0687482
5364,7,68,1,217.484,6292.807402
79,0,20,1,127.495766,1129.549713
4053,1,71,1,172.4555,1076.282569
6258,6,38,0,104.9643,6158.129487
9576,1,64,1,149.9778,5275.613898
9025,3,64,0,232.6415,6404.998855
3107,2,31,0,149.9378,1403.833391
3601,2,85,0,172.4567,1283.018595
6073,2,68,1,225.132,4444.680517
8126,2,41,0,187.6422,5596.424346
2142,6,54,0,104.9629,694.3512691
6310,7,33,1,204.961,5901.372906
2268,3,22,1,245.1283,2674.664142
445,2,27,1,164.978458,1932.20577
4883,0,49,0,182.447,619.2614035
4466,7,54,0,214.9525,1338.619611
9026,0,70,1,202.65,5881.867947
6632,3,21,0,149.9913,5091.409521
3316,0,66,0,255.1372,1012.460755
1701,3,42,1,194.974431,897.6280912
2526,0,74,0,252.624,662.5967184
68,0,48,1,152.462354,1808.730555
1168,3,66,1,162.452604,950.1312316
48,1,86,0,104.962874,740.010722
1053,0,22,0,267.642733,1743.932853
4029,4,62,0,139.9349,962.2206823
880,1,87,0,129.948316,1041.301237
2651,3,54,1,107.4806,862.6906733
