,tenure
8767,69.59341
6500,62.19865
8426,48.76309
7963,58.58252
601,2.437089876
9249,66.50393
8919,65.32158
6814,64.42046
5411,61.72165
8747,56.19138
5522,67.11808
1044,14.5875554
7334,70.32404
1557,10.12123118
3739,1.481306
3522,3.662342
180,15.64596698
2115,8.944195
1699,15.02077659
1379,14.23594392
7229,54.38925
9143,64.49513
618,2.981008475
3181,20.3759
9851,58.40532
1600,14.87053577
5963,70.35146
1615,7.336939062
5920,61.10961
9591,50.09713
3891,8.752114
2083,2.958575
4574,31.79027
5594,62.79035
5121,62.76356
4587,3.080084
4902,9.648973
8252,48.56433
5916,44.47594
5129,67.18331
8334,63.3194
1918,15.54170472
8330,55.83128
5707,56.31481
5384,55.75053
6336,63.1308
2054,2.654262
7612,51.40304
9209,64.17032
3963,7.890442
1126,9.510993751
3428,4.741795
4601,8.093081
3721,7.735821
2389,2.061636
1322,2.849622074
1603,2.731606393
7224,50.34057
7425,66.31705
4336,21.42226
5593,65.49323
4411,4.055418
5858,69.29855
9343,71.46108
3991,1.399445
6079,56.24027
1559,8.249941923
4682,7.820202
7557,58.31897
3772,6.864699
8779,58.96403
3457,11.84721
8383,65.24225
1354,4.860645308
45,10.377366
9872,58.8745
748,3.736763788
7917,68.82747
4241,4.816947
5628,56.20378
4657,7.019257
4238,10.99657
3460,14.12424
7381,70.23581
5549,47.4558
7075,59.11522
5838,50.46018
8091,64.87596
5474,66.10268
3614,1.364515
7501,65.27324
7053,71.61852
7367,58.80144
8019,58.3401
9638,68.37019
9055,69.44118
664,11.34954445
2319,6.137692
3542,13.25623
3677,16.15713
9599,48.06765
3091,16.88185
675,9.85591776
8676,49.11678
4884,17.58224
8079,71.51635
1962,9.878308737
1840,5.755833887
7168,58.99154
9898,58.77002
3538,19.70229
8026,54.51932
4866,1.74299
4174,2.395742
8088,47.94936
4377,10.28653
6211,63.97947
4766,4.370713
411,10.27819073
613,2.62036784
6126,56.736
5210,47.20955
1430,10.27733324
2425,14.10183
8841,58.57249
3833,7.413447
4718,2.246214
7185,68.7146
1417,23.44153546
7199,49.74162
604,14.46037646
1272,15.71358455
3964,15.68627
6367,53.4946
8746,54.09544
247,12.73622643
9226,59.52044
1982,24.77325806
2835,12.57563
5375,67.77122
199,2.905283283
485,2.206152519
6083,40.77723
8956,61.17571
455,4.991605214
9798,65.0829
8826,60.31971
6515,57.48138
1721,1.789830613
7050,68.6663
6382,44.58913
8165,70.38624
5767,61.74103
5809,70.31022
4626,10.52104
862,2.010353461
2094,7.809364
947,1.047382039
5641,61.0911
1444,7.349883172
1280,20.83084927
3110,2.320115
8952,67.93803
7609,67.62049
5135,64.1621
3016,6.971589
2302,2.65459
2004,7.976237
4580,10.83268
8704,62.90882
1005,13.3771743
5138,60.93197
4317,11.12611
6558,53.77815
4387,21.50913
2132,1.75453
4265,13.92306
2057,31.32024
5386,58.86685
229,12.02106494
2889,14.34935
4472,11.42705
6064,51.0221
7924,48.79391
7649,58.76049
8381,69.24438
209,11.96274778
2758,5.679237
8471,52.9247
2948,8.681614
7116,46.88518
6330,57.29968
1728,24.3036064
4176,9.102322
337,1.14113241
4984,9.309073
6878,69.38285
7248,53.9154
8452,68.41538
1226,6.832965812
7608,68.14733
6827,47.42715
3540,10.06945
5868,64.11549
2111,6.23273
2691,17.27999
7153,68.62845
3707,11.21368
1017,9.907505405
8511,70.50947
2807,3.890319
5015,63.14574
1928,20.00794461
350,5.397827503
5173,59.29981
4192,4.109741
1934,15.21980082
6901,43.55176
4823,4.054345
564,1.375013189
1582,12.68609343
4694,8.390283
2175,30.7698
7028,53.90195
4880,6.398242
2228,9.526371
1115,17.56356483
3126,4.606587
3544,10.6052
5048,65.4294
7476,67.97118
821,24.19132114
6532,69.91537
2272,6.403857
5545,44.81075
81,7.832238337
1323,12.61694943
9405,60.54294
1614,9.217596711
831,1.440416687
3883,4.570915
8641,47.62011
4464,10.4983
5339,38.85837
8066,60.49154
1649,5.045543619
4065,20.84965
9665,61.41519
3038,14.83659
3320,14.65682
7143,71.31402
6889,53.84369
5092,52.76082
3720,5.315954
2423,6.617173
749,22.39935475
5271,67.33169
2373,8.882682
4693,2.856149
9879,60.24089
8370,66.2073
7319,66.31286
4368,7.649477
6785,67.53496
7401,63.60301
1139,4.153793775
7631,65.36086
2231,13.85765
2164,7.890163
5217,71.03326
9444,36.05704
9237,66.68688
4561,11.76248
1570,7.897660605
172,19.48900163
7163,66.67798
2087,9.832835
4667,18.98342
4565,6.564797
7089,67.07059
6569,67.76235
4783,7.03957
2684,5.614074
1832,13.22141934
8546,71.3386
5065,61.32409
9130,44.83431
9355,62.09703
4412,13.00557
7207,48.56111
9890,60.5753
834,6.28842083
6821,57.18462
3781,5.306649
9012,57.44563
7499,57.48285
3424,9.39804
65,7.916533093
2963,5.966695
5669,45.59475
8962,58.82987
354,14.12966281
8171,40.73541
4030,1.115115
8534,67.25716
3651,7.934658
6739,58.75091
3297,3.088732
4127,4.245048
8043,66.57411
4767,2.006646
472,4.135515169
3761,12.80172
8617,57.3396
3566,19.95038
2760,10.68972
868,8.791194482
9382,64.81224
8688,66.27257
4052,13.48223
6130,62.6686
3244,6.645392
4842,4.820891
9330,53.81991
5640,69.32327
5780,57.67289
8540,68.34963
1075,3.218751358
2957,7.773669
6752,56.43742
8657,71.84893
7272,67.66242
4759,3.199579
4862,7.761878
7025,69.70806
7647,41.74273
7161,40.62433
73,9.190009376
4901,2.696846
4375,9.51775
6698,65.16939
9805,64.15677
1101,8.279774899
9537,58.87396
7655,58.40109
5235,71.52864
5165,71.17531
118,7.120096363
2022,7.387825
9885,63.17583
2638,1.73409
2034,7.376158
2564,5.014012
8665,54.42917
3543,13.08183
1219,23.32691904
9714,62.16781
6711,58.5543
2903,7.467093
3026,20.95648
2510,8.386909
4201,7.874401
3207,6.678303
4489,2.147261
2755,8.612474
8889,46.75485
177,3.701557118
1643,12.30462572
9292,69.71137
3518,8.346499
1374,23.05042619
1720,8.133269102
3995,18.1201
3688,8.116071
2264,4.719731
87,3.721772616
2848,8.306218
8687,49.71999
403,3.084376591
9900,50.88709
4077,1.426775
6835,64.92993
6537,47.1164
2456,1.293544
2751,8.27839
2214,6.280617
1027,4.303849456
9703,67.94252
1421,3.295993837
2436,1.932155
4277,3.606976
9609,54.12547
1278,9.983052758
6220,55.17028
4907,20.52701
5064,69.2139
1978,16.01233793
1061,4.056889119
5014,71.66705
4535,18.07558
6993,69.39989
9253,65.85662
1502,11.71980152
8568,43.73697
9314,59.17567
8836,58.73457
8920,70.66533
4918,10.15306
678,6.999864982
5076,56.35343
8064,40.82315
7568,52.75072
102,2.542296644
957,16.66213522
8556,66.74968
3785,1.124104
9630,64.00501
7173,62.06064
4043,15.09343
2648,3.533323
6000,44.09777
7927,66.8616
2826,10.93329
4094,5.951276
7774,57.33546
9258,64.57131
8113,60.1541
4772,7.354812
1947,21.6132385
6109,64.61204
2299,7.409149
7844,51.54301
4382,18.32428
5425,65.52605
6771,64.81364
8578,66.82313
4291,6.602711
528,1.781895205
1233,7.629943705
779,8.908332009
5859,47.78655
3059,7.032433
8587,71.59338
1860,1.747076331
8438,42.93116
7403,57.08875
4639,3.171487
4250,4.082591
1992,21.67433467
7379,51.83423
7305,57.86878
5303,69.49722
8192,69.40052
7447,62.07668
2471,10.08697
7197,47.77726
5312,52.61696
9035,65.90788
1396,17.88183906
4002,11.40214
5371,47.99369
3235,4.14274
1042,15.1418246
3298,2.645653
7256,64.52906
257,2.416685985
7286,46.21777
8616,67.87061
7816,49.75092
5843,57.17893
2089,4.791566
7702,61.00511
503,4.806882153
5265,70.20999
8814,47.67256
1345,4.248159714
8455,67.39064
5046,56.3686
2248,2.548892
4981,9.836442
372,22.33583015
8454,59.64391
3370,9.060745
2006,5.982479
3656,8.161101
8327,56.67924
7521,70.15014
4001,7.038169
6072,66.34669
8736,67.78399
997,9.618627021
8179,64.49464
3290,6.207517
1176,6.339408608
551,7.793733508
744,12.11795763
7223,63.39679
4554,3.246478
2859,4.300397
8820,62.78883
3459,7.732188
2724,1.796113
6847,65.0113
7615,57.63584
7547,54.94221
9174,63.71215
6393,64.48925
5358,61.04844
9488,58.86292
2968,4.367739
693,11.90088632
2533,9.24589
6399,51.45585
982,1.796688583
5364,69.01301
79,9.677739656
4053,8.635904
6258,67.37641
9576,61.50205
9025,70.40902
3107,7.53282
3601,7.431055
6073,40.94814
8126,61.60969
2142,4.044068
6310,63.87447
2268,16.30451
445,10.8600084
4883,3.4187
4466,9.894265
9026,59.48026
6632,55.59681
3316,4.656535
1701,4.759938908
2526,2.589165
68,12.24190682
1168,6.133827574
48,7.760290062
1053,5.898536601
4029,1.616979
880,5.803901847
2651,6.307859
7759,48.89289
2439,6.446079
4924,7.704074
1467,2.698284625
7292,52.53762
5035,71.106
2441,6.582225
6554,52.5986
230,5.049303717
1320,5.7018635
41,3.002844144
777,3.189179387
8950,61.17556
8404,43.69919
1729,6.027648047
3910,8.813715
579,5.884557067
9941,71.67689
5839,62.18037
8271,69.7211
7275,63.23545
1491,3.468872554
9109,56.19141
5610,58.54353
61,2.344875382
5471,57.81554
3905,15.88445
6531,37.5471
402,1.379696124
332,2.423722078
2084,9.955486
9557,60.46744
164,16.00330155
4379,6.574699
2715,25.68869
8923,58.36296
7346,64.00973
5453,38.28807
7046,60.2958
1334,4.777862937
8698,70.22382
1659,11.06628519
3578,8.443528
753,11.14672304
6584,64.395
706,13.57977305
3014,8.58684
8558,48.4017
9875,60.12009
9582,39.23379
8928,71.58757
9556,67.26145
8983,50.55291
1834,3.787548072
2996,2.1782
5427,66.9628
3879,9.213435
7156,71.35208
5081,57.04429
9114,48.22395
7244,68.26818
5400,63.76818
5395,52.20263
9427,58.91402
2246,7.533801
835,1.532973151
8394,38.92029
9042,70.49752
432,2.644787483
3378,14.77367
6817,52.86347
8131,67.99043
9621,56.16716
6066,71.7248
1193,2.5238884
6934,65.86739
5461,58.23726
3071,4.454344
3044,8.794478
3263,1.532436
2729,5.294527
3433,15.56801
433,2.522962069
3272,1.524132
7001,68.63397
9726,66.42406
104,22.79214163
3315,7.146126
1656,1.849371568
1533,14.92730216
4680,6.588658
8813,57.60401
9002,62.13371
6622,65.62722
1443,7.840871292
214,15.85002222
5356,52.83276
9218,71.59806
6322,67.09561
4989,6.984409
1419,8.085917091
9516,47.79913
8606,49.98309
181,23.00764441
4352,6.106821
8700,71.85451
2446,2.077466
5321,67.78257
8045,62.08636
5684,67.72122
3532,5.186633
8244,70.89738
7976,58.69071
3698,22.52336
70,23.92132231
544,7.073151031
1204,9.028422616
3078,17.2154
9106,67.97714
9120,60.23312
9680,52.20612
6180,62.83833
8329,53.47075
4284,10.15451
4007,2.438513
8713,58.46541
877,13.76871228
8060,58.52641
196,15.87685513
9746,59.64017
4010,4.541407
9962,56.40424
2571,1.798433
3753,7.646165
9247,66.11418
8628,59.33067
9368,71.96367
6159,55.66796
4791,4.320048
5337,66.59235
3024,7.342789
2718,1.13143
8655,48.45122
6916,60.06802
3984,3.199643
7308,61.30659
5953,56.53361
3844,2.93932
2682,7.238006
4024,15.19686
8715,69.35321
3139,2.518069
4237,4.098818
218,21.29342532
6618,63.9916
9606,71.53575
5268,50.49072
2543,4.044209
2870,3.612294
1244,8.550692097
420,17.22220989
6227,67.13541
2058,21.03542
8493,61.84543
6434,65.62921
3422,8.016341
4510,7.470963
1166,17.39605821
254,9.740709475
415,5.2551003
9175,62.77605
3469,27.12312
3050,21.13934
759,6.248150471
1385,10.55675189
654,2.451160296
1201,1.43538042
2413,13.87203
5579,66.00861
5993,67.18986
5294,66.91884
3055,6.967998
2830,4.612442
2970,6.842584
328,21.08265979
4270,15.98922
5994,62.27397
4392,4.225661
2063,10.32943
8301,71.92785
9013,68.7816
9329,66.79288
5169,69.17356
4429,5.147213
1281,1.225588884
3381,23.91177
2636,16.12971
3328,7.131841
6436,70.04547
5018,67.15579
7324,52.09557
3795,17.05378
2663,4.469398
8282,52.58546
1282,10.44973947
4148,2.647286
1362,20.96092159
1437,16.48377098
9628,66.62855
3441,5.358251
56,9.563362997
4597,2.507107
8479,71.99132
5365,45.92294
1844,9.858971643
5515,52.03938
8573,48.78507
6263,47.56406
2880,2.984004
1743,13.82541752
8398,64.33856
4169,10.91791
5197,54.83336
8993,71.12545
740,2.282601557
9066,65.33881
1624,11.71117991
524,1.502124145
7999,66.21743
4419,3.318059
5426,61.96091
6689,62.78784
7382,54.28465
435,11.50651216
2960,10.41798
308,4.355064781
1565,8.245809832
2631,1.84687
5597,48.29494
9477,61.54459
401,1.28507969
3826,17.78769
881,5.295927221
3997,5.018901
7118,63.6037
3265,8.640886
8406,36.98095
5009,70.19733
5736,62.15286
5554,48.35393
288,1.473304337
5564,56.09481
8324,61.69408
2623,30.82191
8859,65.16987
476,13.82188875
8591,70.14609
9713,63.18627
6522,64.99919
3111,15.41267
9470,49.61816
737,6.051428262
3133,6.631092
8047,66.49538
6551,56.04565
5407,46.40554
5563,69.05558
5328,54.3819
6718,48.84202
5118,42.36211
4619,12.22703
3689,7.490867
7716,66.20027
1839,18.29765062
1995,5.794641025
2399,15.07508
6510,54.61729
9356,63.29972
4119,6.580765
5894,66.94288
800,8.063547235
8423,64.48611
7680,69.97649
1405,2.288223389
5431,57.31946
69,2.203859443
9543,56.8243
2759,1.050155
8294,55.71809
1586,2.593102097
6666,50.63449
8014,40.80483
1074,4.898445616
3063,2.437932
6487,55.09779
4705,7.766899
9069,66.00877
2603,1.506136
7738,51.11345
1579,1.760409672
5058,71.66261
5753,59.71663
3548,7.138798
409,8.69085131
4097,18.44164
6461,62.12094
5601,60.99804
5231,60.16962
3777,14.1842
2726,10.22422
477,2.598489694
1329,9.339307484
4035,20.21413
9642,70.30088
1777,4.576705489
6096,62.46678
751,7.677648117
5792,68.01745
4060,11.69113
9041,68.75872
6030,69.02601
5898,61.2541
9338,53.54212
9160,39.72823
9996,61.04037
5151,52.61686
468,20.04140358
1545,1.665089598
6311,60.72645
2683,5.449246
8966,57.71425
6181,58.52876
1025,18.29391747
5112,47.96609
8562,62.77262
5368,43.80971
2354,3.437502
7278,67.31311
3602,10.56737
773,3.990895779
6773,66.2177
8809,48.27562
3382,2.644504
641,4.241019424
4233,3.761516
3815,7.232429
4104,15.15905
9925,37.8337
1108,1.763317472
3527,4.380312
3495,1.253929
1420,6.086525665
6923,68.1253
3881,7.097053
8353,48.03223
6245,66.85047
4938,11.7516
6798,54.47785
7812,61.91437
1680,12.95969924
6715,61.51143
633,14.28414317
2569,3.765838
7359,68.08474
2166,1.650984
8169,56.36817
8845,53.60305
2825,5.389466
4087,9.112126
6243,71.61196
8364,63.59872
3941,23.49138
9179,56.92191
8075,60.57969
9195,55.27092
4128,8.894523
1172,6.126946607
8668,69.22974
4222,4.192662
4834,3.305552
2576,6.960522
1989,1.722680046
6973,57.94661
5836,69.97238
4532,10.65198
3209,2.54348
3855,10.45843
2628,9.38517
7803,64.38615
1410,2.988653862
8257,61.4943
7386,53.90815
4303,2.865504
6750,71.12356
6555,70.95714
815,9.44860885
2404,13.67733
5397,71.45086
9956,58.40629
2131,3.543665
1797,16.11472911
3090,4.24454
4184,6.311363
4564,3.896108
5030,42.19555
8048,56.53633
122,10.04672315
179,5.522376826
9250,62.67099
8095,48.87162
6429,47.47601
9737,63.56661
4992,8.268405
1157,8.098851806
9003,59.6293
1532,10.54165852
8992,54.28874
7859,41.3275
9110,55.44991
1535,4.071312509
9259,52.69603
5517,57.49209
2605,4.148103
6127,43.51717
9141,66.80646
7458,61.46682
2177,6.739405
7990,51.19372
2351,2.763224
9177,49.19446
3502,11.21716
2134,9.637159
1480,3.784962992
2793,5.705638
4843,16.57839
9780,64.67959
9934,61.85574
4762,5.506063
7191,48.15455
6041,41.60875
9636,70.61283
3445,4.762508
8149,70.66353
7765,61.49459
3620,5.638782
1952,21.1307851
555,7.604093453
4264,10.40415
1163,8.634921784
1584,5.970269701
6151,44.75964
9720,46.84079
5837,57.44027
5261,70.54256
5239,66.08159
7913,51.39351
9162,56.37162
1598,5.78844751
7182,64.26003
300,4.439685675
9660,64.17582
6947,69.03568
3794,2.002856
4572,4.899337
4335,13.19063
2858,14.40435
5694,63.15946
3142,12.03278
1359,29.70527547
4533,7.957264
9749,71.58111
5687,70.30403
486,3.820262172
7836,64.28134
9554,66.4055
5900,71.82846
8116,63.71108
7362,68.80222
1152,14.87120712
5382,45.84265
9741,60.45443
5424,64.61766
8807,62.23897
5186,44.25204
8409,45.96907
6189,62.58644
9702,68.32444
8269,52.64455
5314,60.11333
9903,66.46085
665,1.846161288
3353,11.85169
8851,58.51928
8061,57.7475
642,14.02310297
9242,52.56232
176,8.850426839
6431,60.22359
9910,57.24323
3438,11.36757
786,12.96208301
6391,63.28097
9065,63.59084
9927,61.91109
3202,3.83138
4803,14.45396
7835,58.12044
7940,69.27282
91,13.85488928
5762,70.97645
9027,69.39129
9504,65.19899
8237,44.72241
1971,10.98841039
2905,13.09678
530,2.447649309
3635,3.443373
996,4.06047424
5852,40.76616
4226,3.817742
5616,51.58472
2312,6.816014
2154,15.51194
5317,61.96895
1427,4.672608309
8630,64.85756
6032,68.93162
4415,3.985217
8818,47.60481
3085,7.733033
7798,54.41951
9153,65.52
8209,41.93978
9573,61.32712
9534,58.20259
495,8.573785357
3749,8.980916
2321,7.458099
4267,7.218929
3405,4.116596
151,14.53027663
7369,67.87033
694,28.93788212
4417,21.52164
5697,71.4064
1738,14.93006551
3001,2.258878
167,8.044444101
6111,56.42112
4622,3.27379
2865,5.602813
8544,57.0815
4702,11.739
2883,14.89363
3031,13.36539
8183,64.11367
8980,65.09085
8528,56.75264
5681,57.49365
7209,69.62423
5991,47.94402
2276,6.542299
7132,69.46066
5705,70.22928
7998,67.72471
5292,64.56659
4304,4.661936
7445,67.19921
428,18.46162568
7068,71.19605
6364,71.1184
4215,5.540815
426,11.69875604
2223,10.57654
100,14.46288204
9244,70.48211
3307,2.443144
2762,18.2103
5857,68.14379
4738,4.731685
7092,41.71275
9632,46.43864
3286,22.25056
7712,59.71984
7868,36.88134
6067,60.03811
9235,53.80104
3577,24.84802
1465,2.180613468
7675,61.73523
2234,2.649474
1744,7.772523197
9754,65.71379
6094,58.62812
8781,61.46188
9401,71.10143
8371,57.4079
5027,55.87684
9234,66.03306
3944,4.008932
6862,50.87987
5350,61.18595
9422,49.37752
2121,27.98865
4972,8.802664
8576,41.09672
3784,9.345696
6872,69.13848
916,12.91213895
9394,63.28819
7252,60.7425
8012,68.78508
5821,62.32519
4403,8.547698
4863,12.9765
8515,65.91489
5422,53.17302
7733,61.12405
1203,9.676963031
3768,11.70988
5357,68.72852
3852,9.738632
1926,7.918255804
3114,1.304537
2641,10.00949
7639,65.25844
7360,42.64646
8182,56.03541
7610,57.37651
2728,2.945436
9597,60.30933
4985,19.9897
6846,57.72932
7698,71.37419
4012,13.79595
2626,5.150963
7238,55.98127
8255,60.97619
9565,61.00345
805,13.55218661
4634,12.65954
5247,59.99095
5566,61.22216
5739,64.98806
5143,66.45525
8265,48.9954
4459,16.77025
1242,15.16346403
6945,57.85206
5740,60.32779
5325,67.24986
547,14.96135055
3022,13.90887
5761,57.13921
4031,17.31427
26,10.40566091
4952,4.73307
5152,60.28236
2508,27.4563
1433,2.256763731
2582,22.34478
1302,21.16641251
5812,50.98192
7349,44.92225
5281,59.51347
6114,67.99357
1221,15.82334026
7435,43.63637
2548,9.470798
750,20.07541432
437,5.505247606
4371,14.34892
4448,6.736871
2847,5.448172
1173,9.378558244
7495,64.30983
2699,10.55294
9888,63.19406
9506,64.94288
6395,51.60111
2481,7.42363
5456,69.51253
8444,61.2082
2706,1.387769
4661,8.873645
326,22.8577804
1039,13.08606275
2637,23.9038
5022,68.7729
2499,2.301772
1004,9.188837964
2861,9.693608
3233,8.664975
1870,10.86852566
4245,17.13675
6927,68.06711
8385,53.15277
534,2.359067126
9827,61.10676
7148,53.02997
7365,44.04708
585,9.232644617
9914,60.03004
3035,3.101413
4428,12.44495
4089,3.033303
1703,7.441432103
4295,19.48354
5719,71.7712
491,10.06913982
6899,69.30597
4353,6.463724
2836,7.606099
2266,7.667371
7718,59.3332
9523,59.98562
8022,52.66362
4707,18.75702
9843,56.01484
2900,11.26136
9618,71.28275
2944,10.3362
1916,4.385448215
3185,16.27138
8626,61.24745
9434,64.93663
7255,57.50632
4246,1.741247
8615,57.42888
5146,62.70697
8565,61.09569
2518,17.91527
397,9.797427154
1317,9.22316707
4560,12.09048
121,4.799514433
2449,13.46686
8855,62.5567
8108,62.58001
1566,11.45756486
1984,6.12261616
4333,12.70316
7910,52.36016
9286,48.66437
3918,9.197686
2173,7.535729
3283,14.66848
8495,70.99524
8584,52.30473
2333,1.589535
573,8.274610767
3660,1.295137
9075,67.88936
981,6.721823696
9370,69.25128
1407,17.01228541
535,6.811759674
4315,1.865935
4598,7.721518
8622,61.21945
8758,64.25291
1434,1.915736733
6994,48.91992
2579,18.32904
9403,61.68555
3269,29.19298
9553,68.03445
3838,2.771756
1867,14.45556293
1454,10.11687657
1786,7.351090778
9912,69.6182
7095,64.21579
2521,9.303687
4439,4.849803
1820,12.92578188
5615,60.5779
2929,21.53238
51,7.338869531
4726,12.2982
5716,55.38418
5465,50.90725
469,8.001673351
2629,13.81972
6513,54.26219
7467,50.80222
3945,25.43212
6204,47.67411
4262,3.160399
1858,8.703568707
9532,69.60264
865,1.901532614
6390,67.89706
7212,65.80077
4921,25.07759
8101,58.2471
4792,9.553951
8854,71.53606
6250,50.47035
5936,71.16283
425,7.218752772
188,5.587484456
5629,54.2897
4359,9.975367
228,5.071456681
7757,68.12367
7677,49.20927
2741,7.193929
1041,1.415346194
4075,2.558218
9140,64.20102
6118,63.41331
6902,67.70921
471,14.68600159
2921,10.16511
1905,6.044266101
8876,59.47229
801,4.612099351
1487,11.44196811
8441,66.74044
227,9.004964377
7890,64.12593
1128,6.19002424
5070,66.95875
9166,63.86178
2208,7.394788
7993,71.805
9842,46.0622
6559,63.29423
9921,65.21231
3153,7.930205
4441,1.081032
7505,66.85534
8957,51.77932
6215,56.7422
9598,61.52544
2144,1.375567
7411,69.37716
8929,42.47353
2374,23.16242
2577,5.525134
1632,1.609325308
4832,9.389007
2298,9.487121
5033,64.01205
156,7.983887266
8046,70.99802
6706,57.86914
3349,15.45104
2879,11.52687
3413,5.879094
7768,68.67008
4189,5.648594
9610,64.05212
9734,44.42372
7251,67.19853
7613,68.78714
6919,68.13863
9681,46.24636
9671,54.64758
4794,2.628926
5654,50.58158
2495,16.87028
7304,62.64968
2372,14.59541
4091,11.88029
9471,64.04466
3461,7.621099
7006,65.58524
5391,67.94385
7172,46.41276
5696,70.70015
5664,54.8774
4503,5.141927
2550,9.05316
4715,9.260977
847,1.078815111
3344,3.707186
938,15.90065569
4825,5.156634
9693,52.58164
8863,61.18471
8610,57.54686
5354,54.60704
5477,68.1383
9723,48.98892
756,19.9441873
4750,13.89557
2644,1.200106
4162,11.25684
8648,70.89862
3165,6.894406
6497,63.66597
5987,57.16208
3873,9.621889
7751,57.47194
6523,60.09896
3418,5.360993
9904,60.04825
2061,13.63369
549,2.519975147
4453,19.22796
2812,18.7404
8777,62.52045
8995,54.30563
2549,2.476217
6069,68.2985
3169,9.910534
7054,70.42655
4828,23.63005
9570,71.24412
1259,5.174032539
8712,66.00509
3661,14.70737
7922,43.18866
1024,18.33393114
4965,8.05975
752,14.08292576
3942,2.086344
3710,4.226363
9960,54.1338
1951,1.00025934
6314,48.25774
351,9.001231999
1511,2.60003549
4829,6.42531
9616,51.4383
3746,5.962119
5799,65.87412
701,16.66441267
3693,1.866832
4614,2.987316
7213,56.37128
561,4.902104964
2318,12.21802
3098,10.59517
4838,2.429677
3150,10.16083
5608,39.61469
4299,9.517804
4618,9.613541
4074,14.87243
3994,17.30249
6373,66.41154
6167,68.87727
1047,7.904120653
2939,7.129721
1808,2.92969581
3166,7.994351
414,5.254442453
1340,2.834098048
9371,47.04565
7740,66.81169
5060,69.03413
4633,5.924783
4609,8.824037
7366,44.60874
1469,2.934758008
1710,7.753271168
6270,59.55192
8732,60.98321
2271,2.977062
1583,18.55974516
1412,2.495010749
4111,15.82734
7652,59.84496
6693,64.33211
1722,2.699998442
2024,10.47338
2212,20.43585
1507,6.7464384
2622,8.473966
5290,48.80775
9128,62.46483
1321,2.456217972
842,17.37839741
1146,17.35804942
3624,13.57249
4280,8.06514
9010,62.42321
8986,58.72004
4681,1.556238
463,13.44056701
1754,7.860641328
3936,20.44277
7933,51.04299
9460,57.25068
4401,4.908846
4700,4.581601
8991,44.47907
378,4.801969514
3106,2.290777
8215,63.79124
1335,22.57289049
1223,5.396647294
3848,2.719751
2716,16.21818
6837,60.64795
2952,6.611955
1350,10.55505829
1082,2.871446409
6453,68.17558
1811,1.884992328
4121,17.25428
1351,19.43267321
7817,65.86516
8796,68.59726
1894,4.510537408
6639,57.0263
565,1.387575524
3903,1.940789
7100,54.23845
3673,2.277916
4366,11.07238
7545,53.42523
1212,9.38712707
1189,1.87055247
3955,2.09202
898,4.709035899
4786,21.39532
8092,50.53589
4602,12.1891
